No.;Time;;;;;TIME 1;TIME 2;DELAY;;DELAY 1;DELAY 2;VARIASI DELLAY
1;0.000000;;;;;0;0,016018;0,016018;;0,016018;0,001844;-0,014174
2;0.016018;;;;;0,016018;0,017862;0,001844;;0,001844;0,010411;0,008567
3;0.017862;;;;;0,017862;0,028273;0,010411;;0,010411;0,127761;0,11735
4;0.028273;;;;;0,028273;0,156034;0,127761;;0,127761;0,015179;-0,112582
5;0.156034;;;;;0,156034;0,171213;0,015179;;0,015179;0,084813;0,069634
6;0.171213;;;;;0,171213;0,256026;0,084813;;0,084813;0,025019;-0,059794
7;0.256026;;;;;0,256026;0,281045;0,025019;;0,025019;1,165039;1,14002
8;0.281045;;;;;0,281045;1,446084;1,165039;;1,165039;0,013316;-1,151723
9;1.446.084;1,446084;;;;1,446084;1,4594;0,013316;;0,013316;0,497659;0,484343
10;1.459.400;1,4594;;;;1,4594;1,957059;0,497659;;0,497659;0,01419;-0,483469
11;1.957.059;1,957059;;;;1,957059;1,971249;0,01419;;0,01419;0,19585;0,18166
12;1.971.249;1,971249;;;;1,971249;2,167099;0,19585;;0,19585;0,024256;-0,171594
13;2.167.099;2,167099;;;;2,167099;2,191355;0,024256;;0,024256;0,29471;0,270454
14;2.191.355;2,191355;;;;2,191355;2,486065;0,29471;;0,29471;0,024748;-0,269962
15;2.486.065;2,486065;;;;2,486065;2,510813;0,024748;;0,024748;0,255219;0,230471
16;2.510.813;2,510813;;;;2,510813;2,766032;0,255219;;0,255219;8,6E-05;-0,255133
17;2.766.032;2,766032;;;;2,766032;2,766118;8,6E-05;;8,6E-05;0,024538;0,024452
18;2.766.118;2,766118;;;;2,766118;2,790656;0,024538;;0,024538;0,026363;0,001825
22;2.790.656;2,790656;;;;2,790656;2,817019;0,026363;;0,026363;0,110983;0,08462
27;2.817.019;2,817019;;;;2,817019;2,928002;0,110983;;0,110983;0,000113;-0,11087
37;2.928.002;2,928002;;;;2,928002;2,928115;0,000113;;0,000113;4E-05;-7,3E-05
38;2.928.115;2,928115;;;;2,928115;2,928155;4E-05;;4E-05;0,008469;0,008429
39;2.928.155;2,928155;;;;2,928155;2,936624;0,008469;;0,008469;0,022651;0,014182
40;2.936.624;2,936624;;;;2,936624;2,959275;0,022651;;0,022651;0;-0,022651
42;2.959.275;2,959275;;;;2,959275;2,959275;0;;0;0,018662;0,018662
43;2.959.275;2,959275;;;;2,959275;2,977937;0,018662;;0,018662;0,132115;0,113453
45;2.977.937;2,977937;;;;2,977937;3,110052;0,132115;;0,132115;0,023322;-0,108793
46;3.110.052;3,110052;;;;3,110052;3,133374;0,023322;;0,023322;0,025694;0,002372
47;3.133.374;3,133374;;;;3,133374;3,159068;0,025694;;0,025694;0,004528;-0,021166
48;3.159.068;3,159068;;;;3,159068;3,163596;0,004528;;0,004528;0,000686;-0,003842
49;3.163.596;3,163596;;;;3,163596;3,164282;0,000686;;0,000686;6,9E-05;-0,000617
50;3.164.282;3,164282;;;;3,164282;3,164351;6,9E-05;;6,9E-05;0,025349;0,02528
51;3.164.351;3,164351;;;;3,164351;3,1897;0,025349;;0,025349;0,580397;0,555048
52;3.189.700;3,1897;;;;3,1897;3,770097;0,580397;;0,580397;0,026118;-0,554279
54;3.770.097;3,770097;;;;3,770097;3,796215;0,026118;;0,026118;1,122954;1,096836
55;3.796.215;3,796215;;;;3,796215;4,919169;1,122954;;1,122954;0,026427;-1,096527
56;4.919.169;4,919169;;;;4,919169;4,945596;0,026427;;0,026427;1,351553;1,325126
57;4.945.596;4,945596;;;;4,945596;6,297149;1,351553;;1,351553;0,02572;-1,325833
1697;6.297.149;6,297149;;;;6,297149;6,322869;0,02572;;0,02572;0,096292;0,070572
